month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
12/1996,67865.981,140038.726,140428.842,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82856.188,22499.342,60356.846,4240.225,10393.771,1072.598,20846.429,.,.,.,.,.,.,.,.,.,.,.
01/1997,63663.038,138755.527,139333.859,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84085.048,21745.87,62339.178,4266.629,10597.054,1101.448,21376.449,.,.,.,.,.,.,.,.,.,.,.
02/1997,63625.743,141142.528,141692.194,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86229.174,22070.37,64158.804,4495.383,10948.873,1101.636,22409.569,.,.,.,.,.,.,.,.,.,.,.
03/1997,65497.841,144080.767,144931.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88546.491,23269.903,65276.588,4436.058,11425.067,1118.919,23483.473,.,.,.,.,.,.,.,.,.,.,.
04/1997,66635.334,147471.792,148012.796,.,.,.,.,.,.,.,.,.,.,.,.,.,.,90512.648,23650.222,66862.427,4599.792,11986.457,1168.219,24796.755,.,.,.,.,.,.,.,.,.,.,.
05/1997,69033.245,151110.561,151700.624,.,.,.,.,.,.,.,.,.,.,.,.,.,.,92759.037,24531.54,68227.498,4866.253,12468.484,1205.93,25549.631,.,.,.,.,.,.,.,.,.,.,.
06/1997,71672.27,154073.607,154747.644,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95310.094,25562.627,69747.467,4803.38,13213.92,1280.81,26842.889,.,.,.,.,.,.,.,.,.,.,.
07/1997,74386.614,160056.307,160454.227,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98589.378,26570.669,72018.709,5003.468,13675.912,1360.932,27666.591,.,.,.,.,.,.,.,.,.,.,.
08/1997,74328.588,162082.221,162408.515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100423.341,26736.498,73686.843,5261.489,14089.155,1427.944,28397.233,.,.,.,.,.,.,.,.,.,.,.
09/1997,74658.295,164710.229,165037.037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,101450.804,26737.037,74713.767,5161.714,14524.677,1503.996,29106.596,.,.,.,.,.,.,.,.,.,.,.
